Drug,Target,Selectivity_Score,Rank_Select,aff_local,aff_local_n,entropy_sel_n,gap_local_n,sr_local_n
CHEMBL460901,EGFR_HUMAN,0.5102716,173.0,6.1284533,0.4175752,0.48393774,0.74280924,0.66026795
CHEMBL214376,EGFR_HUMAN,0.5102673,174.0,7.9042983,0.5951215,0.11558367,1.0,1.0
CHEMBL511836,EGFR_HUMAN,0.5100665,175.0,8.639638,0.6686397,0.19253221,0.961988,0.9547914
CHEMBL4278886,EGFR_HUMAN,0.5100027,176.0,8.343807,0.6390629,0.16352648,0.98692375,0.983563
CHEMBL3740144,EGFR_HUMAN,0.5098368,177.0,8.292334,0.6339167,0.19329967,0.9664,0.9582611
CHEMBL460741,EGFR_HUMAN,0.5097597,178.0,6.0590553,0.4106369,0.48908004,0.73607796,0.6505247
CHEMBL2031311,EGFR_HUMAN,0.50975436,179.0,8.095062,0.6141938,0.13269418,1.0,1.0
CHEMBL257705,EGFR_HUMAN,0.5095235,180.0,7.902135,0.5949052,0.2070845,0.953054,0.93962216
CHEMBL4580787,EGFR_HUMAN,0.5094893,181.0,7.830246,0.58771783,0.19862899,0.92290705,0.902635
CHEMBL4751394,EGFR_HUMAN,0.50944084,182.0,8.148232,0.6195097,0.16777952,0.9687532,0.96043605
CHEMBL4594441,EGFR_HUMAN,0.5093946,183.0,8.184146,0.6231002,0.25391445,0.9137396,0.8962648
CHEMBL1951865,EGFR_HUMAN,0.5093934,184.0,8.236048,0.62828934,0.1818855,0.96427095,0.95540464
CHEMBL72388,EGFR_HUMAN,0.5092615,185.0,5.6711254,0.37185228,0.40738097,0.7440192,0.6410271
CHEMBL4215703,EGFR_HUMAN,0.50924385,186.0,8.391839,0.64386505,0.22754632,0.92870724,0.91519606
CHEMBL1092546,EGFR_HUMAN,0.5092361,187.0,8.1075535,0.61544263,0.14759213,0.9891421,0.9859303
CHEMBL1089767,EGFR_HUMAN,0.50888395,188.0,8.109861,0.61567336,0.17684086,0.99429846,0.99257946
CHEMBL1903566,EGFR_HUMAN,0.5088635,189.0,8.015112,0.6062005,0.16607904,0.9847859,0.98013955
CHEMBL1651479,EGFR_HUMAN,0.50881296,190.0,7.728326,0.57752806,0.24931216,0.91802365,0.89565045
CHEMBL1956285,EGFR_HUMAN,0.5087935,191.0,7.4710145,0.55180246,0.19851415,0.9284149,0.90507114
CHEMBL55624,EGFR_HUMAN,0.5087452,192.0,6.2640533,0.43113232,0.3031768,0.79604983,0.7216373
CHEMBL383923,EGFR_HUMAN,0.5086906,193.0,6.498667,0.4545886,0.38850564,0.80699134,0.741676
CHEMBL3818062,EGFR_HUMAN,0.50858456,194.0,8.578792,0.6625563,0.20286918,0.9527842,0.9438909
CHEMBL3545154,EGFR_HUMAN,0.50854933,195.0,7.8064637,0.58534014,0.28265095,0.8706641,0.84341866
CHEMBL5314601,EGFR_HUMAN,0.5085147,196.0,7.8178635,0.5864799,0.27729836,0.86978245,0.84267306
CHEMBL2063456,EGFR_HUMAN,0.50849366,197.0,8.0302105,0.60771,0.25924605,0.91441846,0.8951928
CHEMBL442754,EGFR_HUMAN,0.5084836,198.0,8.539636,0.65864164,0.14674705,1.0,1.0
CHEMBL1907763,EGFR_HUMAN,0.50835675,199.0,8.283444,0.633028,0.21919647,0.94841605,0.93683946
CHEMBL94061,EGFR_HUMAN,0.50819135,200.0,8.545851,0.6592629,0.14669275,1.0,1.0
