Drug Name,ICD10,logit_or,logit_p
Bumetanide,C50,0.6075517153073052,0.0091298525887722
Pregabalin,C73,0.6255371068601995,0.0141101024930254
Melatonin,C73,0.3669075539929499,3.257040563102778e-08
Tranexamic Acid,C34,0.6095626727290586,0.0093896767614703
Carbidopa Anhydrous,C34,0.6656093287414734,0.0373598574559474
Empagliflozin,C67,0.5827647823260516,0.0049761505387077
Levodopa,C34,0.6721127919939855,0.0423661527474636
Bumetanide,C44,0.6644908616187772,0.036934787635148
Amantadine,C44,0.6322013954987369,0.0204918029559933
Milrinone,C50,0.4397580420717014,1.5116710239609444e-05
Buspirone,C61,0.5295725449951553,0.0010096380331876
Thiamine Ion,C54,0.5859269449943306,0.0061440982043546
Fludrocortisone Acetate,C61,0.6378811521478459,0.025256972904333
Levodopa,C67,0.6460776054313837,0.0294183921728972
Ursodiol,C61,0.6151853429291889,0.0149357297259162
Donepezil,C7A,0.6522944030492394,0.0360931820672627
Digoxin,C7A,0.614351050360458,0.0161147777616047
Amiodarone,C54,0.5560314031361996,0.0033382252725407
Aripiprazole,C61,0.5523970153234395,0.0035017816293213
Tranexamic Acid,C18,0.659118251956342,0.044309887764963
Citric Acid,C73,0.4955512923607078,0.0004700257341865
Phytonadione,C50,0.6297717806615992,0.0276818544578354
Meropenem,C47,0.651112280872458,0.041618956486666
Tranexamic Acid,C90,0.503558705287283,0.0007920968910437
Isosorbide Dinitrate,C44,0.6577710417366486,0.0471901831466008
Nicardipine,C7A,0.576007259931111,0.0078498997033072
Permethrin,C61,0.644066221781305,0.0364662160992007
Sodium Citrate,C90,0.6247101337249699,0.0245588526600088
Ritonavir,C76,0.5398825091382508,0.0027622461086632
Meloxicam,C20,0.5469776280440203,0.0039975843071965
Amantadine,C61,0.5049690430026064,0.0010750598645199
Octreotide,C61,0.3593797468354393,4.305829371484758e-07
Isosorbide,C43,0.5737874396498522,0.0084123329156962
Remdesivir,C61,0.3881176200848308,5.034504849963519e-06
Phytonadione,C61,0.3631115298903681,8.913717398624842e-07
Amiodarone,C73,0.4269271077547069,4.395820804381192e-05
Donepezil,C22,0.6421913376273676,0.0455270660052372
Fenofibrate,C22,0.5926041064199276,0.0170869420839277
Tetracaine,C44,0.4646662043749711,0.0003391196746366
Ritonavir,C67,0.5186111621075892,0.0023846671535336
Sofosbuvir,C50,0.5953569606949083,0.0207517146955449
Remdesivir,C50,0.4925498917305593,0.0012709240937687
Cholecalciferol,C02,0.6045488916305184,0.0245533274701719
Umeclidinium,C7A,0.5831218463381402,0.0157116035000895
Linezolid,C61,0.506885419613225,0.0020572859436232
Aztreonam,C44,0.6153934346649929,0.0343447910672286
Levodopa,C18,0.5253188114249214,0.0042320171153885
Milrinone,C7A,0.5942793981638071,0.0225425065438073
Carbidopa Anhydrous,C18,0.5873031936425404,0.0194835785068755
Cefpodoxime Proxetil,C73,0.4757445745937051,0.0008485636806982
Levodopa,C7A,0.5253188114249194,0.0042320171153883
Carbidopa Anhydrous,C7A,0.5365877642898585,0.0057871583872382
Chlordiazepoxide,C47,0.3678808083302615,6.957928068554731e-06
Tranexamic Acid,C16,0.557681232832489,0.0114702458148537
Midodrine,C7A,0.4888400325001198,0.0016952294450319
Tranexamic Acid,C22,0.5785470763898013,0.0238759596462046
Vilanterol,C7A,0.60163146759126,0.036997325712022
Ritonavir,C18,0.381960515805094,3.577573520658581e-05
Pramipexole,C61,0.5636295445488786,0.0210730714841925
Tranexamic Acid,C7A,0.3301013190048066,2.5730428109462098e-06
Amantadine,C50,0.5977623867874508,0.0392583233922106
Temazepam,C61,0.5966732673267324,0.0388715890825828
Tolterodine,C22,0.4932197069513314,0.0037634009323835
Linezolid,C44,0.5654904675947711,0.0214959413265207
Tranexamic Acid,C67,0.4540740769838621,0.0014455218936888
Ritonavir,C7A,0.3070316141843532,8.967839396161869e-07
Tranexamic Acid,C73,0.4161625545520975,0.000364198709453
Ticagrelor,C22,0.3594846215327982,2.5765735255764775e-05
Empagliflozin,C43,0.605753620364973,0.0496436743594699
Prasugrel,C7A,0.5047448042768162,0.0064084165122655
Levodopa,C90,0.4810557554631485,0.0033382680123308
Meloxicam,C32,0.5968969900277032,0.0428898363187356
Cangrelor,C61,0.5434738425267215,0.0163033709005891
Dapagliflozin,C7A,0.5544146379725838,0.0198023003721407
Regadenoson Anhydrous,C47,0.3870637241795958,0.0001047706780988
Sacubitril,C22,0.4992180168908272,0.0054990892349827
Ofloxacin,C18,0.4439839375184137,0.0010274590458433
Carbidopa Anhydrous,C90,0.4696299372314719,0.0023827706453969
Risperidone,C7A,0.5501494586579101,0.0211821493820491
Doxycycline Anhydrous,C02,0.5065614275395653,0.0081043959889838
Tolterodine,C18,0.4682834049576632,0.0029450690301737
Ubidecarenone,C61,0.4883590422470323,0.006768474255782
Levodopa,C22,0.4923830545006044,0.0071494543886079
Aztreonam,C61,0.3372771812780141,2.1033871074814503e-05
Carbidopa Anhydrous,C22,0.4923251227496955,0.0071438466194504
Benztropine,C61,0.4032515991471443,0.0006507361858107
Enalaprilat Anhydrous,C61,0.4813428571428564,0.0071372183063808
Selegiline,C61,0.5517867147346206,0.0313912064129927
Cefoxitin,C90,0.5475956102427899,0.0279905359828539
Ofloxacin,C22,0.484506929061878,0.0093402244209808
Memantine,C7A,0.5415539535068855,0.0297354392171742
Tranexamic Acid,C43,0.4440604253971197,0.0033254070143353
Ezetimibe,C20,0.3899235577481362,0.00057135661243
,C44,0.4977628635346728,0.0128016966045958
Valproic Acid,C7A,0.4501399769960342,0.0039455685444476
Lacosamide,C50,0.4614759144606206,0.0054398150849461
Doxepin,C61,0.569439263956226,0.0475825151543724
