Model,RMSE,MAE,MSE,R2,Pearson,Median_AE,Explained_Variance,Data,Mode,Dataset,Type
Raw Random Forest,0.6509589480066401,0.4585644336307559,0.4237475519899115,0.3700763105457442,0.6100721169930492,0.3449908762250153,0.3715781861587197,Kiba,cold_protein,Validation,InHouse
LinkD,0.5859927413756191,0.3988689381841868,0.3433874929449131,0.4895358912339942,0.7071285843811281,0.278601038950816,0.4992004654646306,Kiba,cold_protein,Validation,InHouse
Raw Diffusion,0.6439480808436404,0.4181917002583876,0.4146691308222076,0.446793233638896,0.6849973592713536,0.2620342350006108,0.4630940456380765,Kiba,cold_protein,Test,InHouse
Raw Random Forest,0.7015308407014277,0.4905037252339704,0.4921455204552519,0.3434326027348172,0.5884251064181505,0.3560879383099653,0.344356361394236,Kiba,cold_protein,Test,InHouse
LinkD,0.6441003398727593,0.4318938543050915,0.414865247824204,0.4465315955172261,0.6751357801351724,0.3002600516337743,0.452921381835208,Kiba,cold_protein,Test,InHouse
Raw Diffusion,0.3889238995271727,0.2866708615392909,0.1512617996234223,0.7831294809378769,0.9166558496108904,0.2245758264659425,0.8388442710123266,Kiba,cold_drug,Training,InHouse
Raw Random Forest,0.1873450012685427,0.1183723824106494,0.0350981495003102,0.9496782801791176,0.9831250762987452,0.0689794323999972,0.9497391351514936,Kiba,cold_drug,Training,InHouse
LinkD,0.2535750819181727,0.1719176783652174,0.0643003221698079,0.90780987480286,0.962686116154292,0.1170367637329476,0.9213453605614224,Kiba,cold_drug,Training,InHouse
Raw Diffusion,0.6528182545970327,0.4309913997291469,0.4261716735351162,0.307502965112547,0.6285669844592184,0.2662266049216324,0.3625368553639646,Kiba,cold_drug,Validation,InHouse
Raw Random Forest,0.6315607776106156,0.4063215553234089,0.3988690158161254,0.3518677380175914,0.5965848027775007,0.2385305987900103,0.35201381436921,Kiba,cold_drug,Validation,InHouse
