Model,RMSE,MAE,MSE,R2,Pearson,Median_AE,Explained_Variance,Data,Mode,Dataset,Type
DCN,1.342714886862676,0.9731189608573914,1.802883267402649,-0.1041347980499267,0.5214436102751847,0.64360845,0.0035040378570556,BindDB,cold_drug,Validation,InHouse
DCN,1.2427935291556458,0.9069088101387024,1.544535756111145,0.1276097297668457,0.5603860196128974,0.6432767,0.150173544883728,BindDB,cold_drug,Test,InHouse
GCN,0.4377026088775423,0.3075642883777618,0.1915835738182068,0.9021944403648376,0.9520631958060836,0.21949911,0.9041513204574584,BindDB,cold_drug,Training,InHouse
GCN,1.575559438017052,1.2132169008255005,2.48238754272461,-0.5202816724777222,0.4157453090247234,0.9491191,-0.2425117492675781,BindDB,cold_drug,Validation,InHouse
GCN,1.4394801226585423,1.0777488946914673,2.0721030235290527,-0.170372724533081,0.4835625707241834,0.80798006,-0.0681581497192382,BindDB,cold_drug,Test,InHouse
DeepDTA,0.6970809136223471,0.4489807188510895,0.4859218001365661,0.7134477496147156,0.84470656,0.21963882,0.7134479284286499,BindDB,cold_protein,Training,InHouse
DeepDTA,1.2028943621042294,0.7663499116897583,1.4469548463821411,0.2012937068939209,0.46340525,0.14481866,0.2034976482391357,BindDB,cold_protein,Validation,InHouse
DeepDTA,1.2146784433822664,0.7105803489685059,1.475443720817566,0.0098808407783508,0.32404503,0.11479759,0.0264112949371337,BindDB,cold_protein,Test,InHouse
Diffusion,0.512888670290776,0.3630109429359436,0.2630547881126404,0.8630461692810059,0.9411569743019024,0.25423813,0.8857142925262451,BindDB,cold_protein,Training,InHouse
Diffusion,1.1241633695172784,0.7516645193099976,1.263743281364441,0.3701537847518921,0.6251319985784776,0.41805148,0.3722529411315918,BindDB,cold_protein,Validation,InHouse
Diffusion,1.1785339880028878,0.7412869930267334,1.3889423608779907,0.1905593872070312,0.5225408897666042,0.33705807,0.2199291586875915,BindDB,cold_protein,Test,InHouse
Random Forest,0.2902852907427833,0.1867091793170542,0.0842655500216222,0.9561289617164936,0.983438983256088,0.1086977982449557,0.9561409233676116,BindDB,cold_protein,Training,InHouse
Random Forest,1.2772057360278553,0.9108679094097468,1.6312544921424552,0.1869871353183436,0.4619093675833838,0.5653013950351222,0.2033169338418052,BindDB,cold_protein,Validation,InHouse
Random Forest,1.102629566056421,0.7485419840695896,1.2157919599417712,0.2914671500354564,0.5536681139843282,0.4698825906364465,0.3003245527830468,BindDB,cold_protein,Test,InHouse
SVR,1.050099056928666,0.6216827960769452,1.1027080293624734,0.4258988856148504,0.6706872541475624,0.2082120929730138,0.4489162478210469,BindDB,cold_protein,Training,InHouse
SVR,1.1301842026801667,0.7133953693157611,1.2773163319878045,0.3633889652557157,0.6044830598986238,0.3132178593605261,0.3642027587068233,BindDB,cold_protein,Validation,InHouse
SVR,1.1517091074648893,0.6904894922908368,1.3264338682175718,0.2269878401048963,0.510610462199045,0.2162723344098793,0.2569987847758276,BindDB,cold_protein,Test,InHouse
GBM,0.9799585218889152,0.7122886050682384,0.9603187046227076,0.5000308115943044,0.7254270312047288,0.4638735130765195,0.5000308115943045,BindDB,cold_protein,Training,InHouse
GBM,1.2398777677524826,0.9372874907317836,1.537296878966879,0.2338153577781013,0.4922475099366151,0.6270698193535611,0.2405204043488311,BindDB,cold_protein,Validation,InHouse
GBM,1.1228417003617206,0.8191200560527484,1.2607734840712,0.2652530537613705,0.5183312899811265,0.5422287477158987,0.2679694683708269,BindDB,cold_protein,Test,InHouse
Linear Regression,1.0023613251246533,0.7111757296541206,1.004728226105651,0.4769099535849462,0.6905866807865855,0.4843884222664387,0.4769099636792524,BindDB,cold_protein,Training,InHouse
Linear Regression,1.3143083949361132,0.9188975014509462,1.7274065569995425,0.1390652040249338,0.4636978221401813,0.5839086661236785,0.1569003714997774,BindDB,cold_protein,Validation,InHouse
Linear Regression,1.1739044588458467,0.8066200079105869,1.3780516784981605,0.1969062838583932,0.4915342423443931,0.5090980529785156,0.1973581840153859,BindDB,cold_protein,Test,InHouse
MLP,0.3621683745278669,0.2399764565552034,0.1311659315081573,0.9317112912547348,0.966941877119904,0.1510400772094726,0.9349746657031752,BindDB,cold_protein,Training,InHouse
MLP,1.26656085598513,0.8233783963858751,1.6041764019137852,0.2004827828785262,0.5246645879203318,0.4260931922754163,0.2004837869009404,BindDB,cold_protein,Validation,InHouse
MLP,1.179512505062365,0.719130914021342,1.3912497495984952,0.1892147813325804,0.535446067730962,0.2968282699584961,0.2000218767045827,BindDB,cold_protein,Test,InHouse
XGBoost,0.5106777157497736,0.3517676824010685,0.2607917293634066,0.8642244198253253,0.9325112212044132,0.2319675344573397,0.8642244256715865,BindDB,cold_protein,Training,InHouse
XGBoost,1.2957465849967462,0.926195416928972,1.6789592125307302,0.1632112305968368,0.4765608745771107,0.5963199741624194,0.1844076781885347,BindDB,cold_protein,Validation,InHouse
XGBoost,1.1505215225399308,0.7776274328060114,1.3236997738276004,0.2285812012670242,0.5311098418502954,0.480636916536266,0.2354455109209066,BindDB,cold_protein,Test,InHouse
GraphDTA,0.5573251630989978,0.3878062069416046,0.3106113374233246,0.8382869362831116,0.9159960104636397,0.25531673,0.8389406800270081,BindDB,cold_protein,Training,InHouse
GraphDTA,1.2775929525790102,0.9078935980796814,1.6322437524795532,0.1864941120147705,0.4798333803664247,0.5566039,0.2069265246391296,BindDB,cold_protein,Validation,InHouse
GraphDTA,1.1783237785390812,0.7992185354232788,1.3884469270706177,0.1908481121063232,0.5291436183946225,0.47367907,0.2583192586898803,BindDB,cold_protein,Test,InHouse
FNN,0.4099913310960439,0.2697786092758178,0.1680928915739059,0.9124860763549804,0.9564529196695112,0.16055536,0.9141504764556884,BindDB,cold_protein,Training,InHouse
FNN,1.204477763441408,0.8017623424530029,1.450766682624817,0.2769417762756347,0.5562169161163055,0.44978285,0.279621422290802,BindDB,cold_protein,Validation,InHouse
FNN,1.1288874535497249,0.6927060484886169,1.2743868827819824,0.2573194503784179,0.5613682546648544,0.30446482,0.2574624419212341,BindDB,cold_protein,Test,InHouse
DeepPurpose,0.7433079068319081,0.5218240249867169,0.5525066443588325,0.7123493510653132,0.8467576478123666,0.3425710062136708,0.7135890141821967,BindDB,cold_protein,Training,InHouse
DeepPurpose,1.1698374628728718,0.8423233337981109,1.3685196895408376,0.3179334564127082,0.5641830339980208,0.548292875289917,0.3181379592380264,BindDB,cold_protein,Validation,InHouse
DeepPurpose,1.203104063270161,0.8173046545272261,1.4474593870571717,0.1564572241712571,0.4463576569975327,0.4918554833248194,0.1592466552908651,BindDB,cold_protein,Test,InHouse
DCN,0.184807579487177,0.1196329742670059,0.0341538414359092,0.9822185635566713,0.9911072908870316,0.082871914,0.98228257894516,BindDB,cold_protein,Training,InHouse
DCN,1.2017140227222227,0.7966417670249939,1.4441165924072266,0.2802561521530151,0.5748478515100004,0.4543078,0.2819857597351074,BindDB,cold_protein,Validation,InHouse
DCN,1.1661296130618752,0.7305876612663269,1.3598582744598389,0.2075088620185852,0.5417942909181699,0.3358636,0.2097421884536743,BindDB,cold_protein,Test,InHouse
GCN,0.4257642410100713,0.2991500496864319,0.181275188922882,0.9056229591369628,0.9553557567877178,0.21470499,0.9125680923461914,BindDB,cold_protein,Training,InHouse
GCN,1.3741625055944495,0.9353964924812316,1.888322591781616,0.0588650703430175,0.4545466643379385,0.5275469,0.0602954030036926,BindDB,cold_protein,Validation,InHouse
GCN,1.265528639904518,0.8048988580703735,1.601562738418579,0.0666496157646179,0.4959948020155259,0.4062333,0.0741211771965026,BindDB,cold_protein,Test,InHouse
DeepDTA,0.5689928909035313,0.3163592517375946,0.3237529098987579,0.3336247205734253,0.57823782,0.1360569,0.3336248993873596,Davis,random,Training,InHouse
DeepDTA,0.5693737037133075,0.2861404418945312,0.3241864144802093,0.2859202027320862,0.54597562,0.057476997,0.2968290448188782,Davis,random,Validation,InHouse
DeepDTA,0.5702441971519996,0.2800541520118713,0.3251784443855285,0.2983797192573547,0.55999148,0.057476997,0.3092291951179504,Davis,random,Test,InHouse
Diffusion,0.4539513616418989,0.2945907413959503,0.2060718387365341,0.7054581642150879,0.8570993159154839,0.18024874,0.734618604183197,Davis,random,Training,InHouse
Diffusion,0.5875938401455723,0.3616030216217041,0.3452665209770202,0.473520278930664,0.7159811399871816,0.19476414,0.509484589099884,Davis,random,Validation,InHouse
Diffusion,0.5742427535457205,0.3522541522979736,0.3297547399997711,0.5125833749771118,0.7388525291748351,0.1859312,0.5437060594558716,Davis,random,Test,InHouse
Transformer,0.5933542187324179,0.4685317277908325,0.352069228887558,0.4967817664146423,0.7851005871056498,0.34479856,0.6039716005325317,Davis,random,Training,InHouse
Transformer,0.6622740054188138,0.5060349702835083,0.438606858253479,0.3311902284622192,0.6870210256271605,0.3487599,0.4405122995376587,Davis,random,Validation,InHouse
Transformer,0.6602735020268999,0.4970166087150574,0.4359610974788666,0.3555977344512939,0.6991146805593497,0.34460592,0.4589430689811706,Davis,random,Test,InHouse
Random Forest,0.2198798407233164,0.1320091716695924,0.048347144356511,0.93089664656586,0.9765140523165476,0.0674788759916076,0.9309330983764368,Davis,random,Training,InHouse
Random Forest,0.5856173569562066,0.3568290165569189,0.3429476887683731,0.4770561492744289,0.6918421027295458,0.1866279049565671,0.4775794144811545,Davis,random,Validation,InHouse
Random Forest,0.5931488935163342,0.3543398295057915,0.3518256098796515,0.4799599658409815,0.6943677349419373,0.1905029952162094,0.4802658572658139,Davis,random,Test,InHouse
SVR,0.7410646770916453,0.3840492877180543,0.5491768556329445,0.2150526601362281,0.5092587966240167,0.0988718914189732,0.2584604511094002,Davis,random,Training,InHouse
SVR,0.7192669195329466,0.3766115523818455,0.5173449015344144,0.2111265250591256,0.5013116077336368,0.1005157964369574,0.2508844169029183,Davis,random,Validation,InHouse
SVR,0.7382701486874151,0.3803906108665966,0.5450428124429381,0.1943619940063196,0.4852847254922781,0.0979302641673749,0.2355003612456551,Davis,random,Test,InHouse
GBM,0.6060696549784865,0.3858770377339007,0.3673204266857416,0.4749829879988443,0.7010312531830298,0.214687614410117,0.4749829879988442,Davis,random,Training,InHouse
GBM,0.6420264442518702,0.4056196847286152,0.4121979551186998,0.3714598669986497,0.6110066147081643,0.2259953022163534,0.3716345954436982,Davis,random,Validation,InHouse
GBM,0.6483326502733874,0.4029191859912758,0.4203352254105144,0.3786946178946558,0.618443111033084,0.2153842708819127,0.3787141170646261,Davis,random,Test,InHouse
Linear Regression,0.6705923186185339,0.4395209288621639,0.4496940577901813,0.3572450280918705,0.5976997809033616,0.2668337821960449,0.3572450280919069,Davis,random,Training,InHouse
Linear Regression,0.6765055758165455,0.4452778763308682,0.4576597941108758,0.3021373728625501,0.5529245145911053,0.27610248455467,0.3022846163660321,Davis,random,Validation,InHouse
Linear Regression,0.6825378621800577,0.442499554675707,0.4658579333093234,0.3114066493502236,0.5592230193101233,0.2617654800415039,0.3114071063597895,Davis,random,Test,InHouse
MLP,0.3374990381915398,0.2043991244856312,0.1139056007802145,0.8371928871165442,0.9157833747476172,0.0949831008911132,0.8376100008653579,Davis,random,Training,InHouse
MLP,0.5747684290816868,0.3312323211010013,0.33035874706903,0.4962523995027271,0.7272648211695367,0.1252393722534179,0.4968034796598054,Davis,random,Validation,InHouse
MLP,0.561686196166023,0.3289377618922489,0.3154913829634561,0.5336662682704814,0.7415339987706834,0.1270937919616699,0.5337233972245693,Davis,random,Test,InHouse
XGBoost,0.2491900566365884,0.1680925127822882,0.0620956843265461,0.9112456365755502,0.9586874302718382,0.1060309410095214,0.9112456498854148,Davis,random,Training,InHouse
XGBoost,0.5552391295871354,0.3488503591882967,0.3082904910246797,0.5299031840759535,0.7279742016862021,0.1832725984199794,0.5299125309539908,Davis,random,Validation,InHouse
XGBoost,0.5643159026419723,0.3495824294967392,0.3184524379746239,0.5292894773095245,0.7275394302908057,0.1849751472473144,0.5292937143745859,Davis,random,Test,InHouse
GraphDTA,0.3492469187391013,0.2315642237663269,0.1219734102487564,0.8256614208221436,0.9148908916602444,0.1494937,0.8332602977752686,Davis,random,Training,InHouse
GraphDTA,0.5487334960593298,0.3406335115432739,0.3011084496974945,0.5408547520637512,0.7430699150345745,0.18457317,0.5505834817886353,Davis,random,Validation,InHouse
GraphDTA,0.5286646935116256,0.3289977610111236,0.2794863581657409,0.5868859887123108,0.7720708942219048,0.17909193,0.5959067940711975,Davis,random,Test,InHouse
FNN,0.4110621484479754,0.2422277480363845,0.1689720898866653,0.7584854364395142,0.8723491277081026,0.10357046,0.7599598169326782,Davis,random,Training,InHouse
FNN,0.5454852019259995,0.3157405853271484,0.2975541055202484,0.5462745428085327,0.7422843186308796,0.12982202,0.547526478767395,Davis,random,Validation,InHouse
FNN,0.5407505969971471,0.3089731633663177,0.292411208152771,0.5677815675735474,0.75528889651725,0.124639034,0.5691124200820923,Davis,random,Test,InHouse
DeepPurpose,0.503801788890591,0.2805047446030538,0.2538162424893596,0.6372163496828009,0.8078755238955921,0.1030254364013671,0.6478598043531517,Davis,random,Training,InHouse
DeepPurpose,0.5846029970185187,0.3257433985447064,0.3417606641230342,0.4788661840385324,0.6998701463077311,0.1096951961517334,0.4896329766660676,Davis,random,Validation,InHouse
DeepPurpose,0.5816221388442102,0.3197974561080954,0.3382843123937137,0.4999756116876651,0.7151462840464531,0.108069896697998,0.5113399265712694,Davis,random,Test,InHouse
MolTrans,0.5390283466182456,0.3384412516393217,0.2905515584579995,0.5848362703953065,0.7785305792782631,0.2289938926696777,0.5870045112387585,Davis,random,Training,InHouse
MolTrans,0.6477300337290748,0.4206552223840393,0.4195541965946684,0.3603251290158051,0.6301181756780234,0.2601759433746338,0.3616865467181694,Davis,random,Validation,InHouse
MolTrans,0.6515365345775428,0.4176940508461586,0.4244998558893135,0.3721378877505344,0.6338976777606337,0.2672076225280761,0.372889723706074,Davis,random,Test,InHouse
DCN,0.106555763301569,0.0767300426959991,0.01135413069278,0.9837713837623596,0.9920219419038264,0.055791378,0.983987033367157,Davis,random,Training,InHouse
DCN,0.5747828664471241,0.3555386364459991,0.3303753435611725,0.4962270855903625,0.7215186163833898,0.1825912,0.4963170289993286,Davis,random,Validation,InHouse
DCN,0.5527792868548337,0.3421630263328552,0.3055649399757385,0.548338770866394,0.7487880414481016,0.17190695,0.5483713150024414,Davis,random,Test,InHouse
GCN,0.3259275857875071,0.2221889942884445,0.1062287911772728,0.8481654524803162,0.9217762548379148,0.14798355,0.8490251898765564,Davis,random,Training,InHouse
GCN,0.5874782903190737,0.3655835390090942,0.3451307415962219,0.4737273454666137,0.7002936045912982,0.19351983,0.4740726351737976,Davis,random,Validation,InHouse
GCN,0.5680177061450846,0.3584023118019104,0.3226441144943237,0.5230937004089355,0.729935257157944,0.20029211,0.5233181118965149,Davis,random,Test,InHouse
DeepDTA,0.6505573505773555,0.3545016050338745,0.4232248663902282,0.0837228298187255,0.37844325,0.19546795,0.0837236046791076,Davis,cold_drug,Training,InHouse
DeepDTA,0.8680865807816901,0.5146215558052063,0.7535743117332458,-0.1064846515655517,0.00367221,0.1612649,-0.0129652023315429,Davis,cold_drug,Validation,InHouse
DeepDTA,0.6610752908991734,0.3951360285282135,0.4370205402374267,-0.0469902753829956,0.09117094,0.1612649,-0.0420237779617309,Davis,cold_drug,Test,InHouse
Diffusion,0.4521013404260148,0.2930444777011871,0.2043956220149994,0.6931884288787842,0.8563234759048205,0.18511486,0.7331782579421997,Davis,cold_drug,Training,InHouse
Diffusion,0.8757984401298722,0.5852754712104797,0.7670229077339172,0.1899102926254272,0.5425965790638116,0.31788826,0.1976085901260376,Davis,cold_drug,Validation,InHouse
Diffusion,0.8132071352268024,0.5153536200523376,0.661305844783783,-0.0640145540237426,0.3299980074522004,0.25245047,-0.0468541383743286,Davis,cold_drug,Test,InHouse
Random Forest,0.209139545294759,0.1199257076672047,0.0437393494060985,0.9343442989713218,0.977453017661454,0.0576003276545575,0.9343768388127668,Davis,cold_drug,Training,InHouse
Random Forest,0.8052505695006555,0.5954484239837564,0.6484284796811302,0.3151635169026193,0.5626776987786936,0.4196494423141095,0.3165427160276753,Davis,cold_drug,Validation,InHouse
Random Forest,0.7487320663565431,0.498646468615293,0.5605997071905389,0.0980174038371474,0.3477131481218477,0.3135424831983751,0.0980747363185337,Davis,cold_drug,Test,InHouse
SVR,0.7328400441470567,0.362790193269961,0.53705453030546,0.1938450809943664,0.4897680971954001,0.0950233096968711,0.2373146905127465,Davis,cold_drug,Training,InHouse
SVR,0.8754250120502453,0.5654473623073787,0.7663689517231721,0.1906009157537058,0.4868334612972077,0.3223165207773864,0.230132889088005,Davis,cold_drug,Validation,InHouse
SVR,0.8433593700968318,0.4988576347075392,0.711255027130125,-0.1443810042638165,-0.0077102171954314,0.2388614365698402,-0.0341505196883968,Davis,cold_drug,Test,InHouse
GBM,0.5885829224944762,0.3593654251569279,0.3464298566521386,0.4799855186554438,0.7039264782953619,0.1882464525464611,0.4799855186554438,Davis,cold_drug,Training,InHouse
GBM,0.8667888752434544,0.6632412073672529,0.7513229542458127,0.2064917168520073,0.4550245264036785,0.4827085174838323,0.206530282120669,Davis,cold_drug,Validation,InHouse
GBM,0.7577033427193701,0.5226334945666693,0.5741143555681072,0.0762728729830062,0.2886585912323249,0.3485656334493234,0.0773832491414421,Davis,cold_drug,Test,InHouse
Linear Regression,0.6641684536055424,0.4231709543245167,0.4411197347647776,0.3378496521594829,0.581248357011801,0.2448348999023437,0.3378496525289174,Davis,cold_drug,Training,InHouse
Linear Regression,0.8834377737106466,0.614156420285157,0.7804623000188236,0.175716253243807,0.4643905237397262,0.3895215988159179,0.1941385834381904,Davis,cold_drug,Validation,InHouse
Linear Regression,0.8162436916755207,0.5998253408830658,0.6662537642000824,-0.0719757649324108,0.215508880062927,0.4925501346588135,-0.0712188906080182,Davis,cold_drug,Test,InHouse
MLP,0.4982944962678307,0.3173630780543782,0.2482974050108111,0.6272889192239919,0.8057796861972786,0.1861257553100586,0.6425131195023739,Davis,cold_drug,Training,InHouse
MLP,0.9569069340062624,0.6217832349749475,0.9156708803492656,0.0329159729667528,0.4186356227530169,0.3055238723754883,0.0714362906121712,Davis,cold_drug,Validation,InHouse
MLP,0.8547345633184807,0.5240154972873698,0.730571173731234,-0.1754599146443545,0.230186827636755,0.2353243827819824,-0.1502724084151268,Davis,cold_drug,Test,InHouse
XGBoost,0.2286338015131908,0.1510798491727484,0.0522734151943731,0.9215340930683528,0.9632971783003555,0.0942788124084472,0.9215341035022432,Davis,cold_drug,Training,InHouse
XGBoost,0.8442781585505694,0.5994363514081558,0.7128056090055404,0.2471717364365379,0.5729546225815025,0.3956856727600097,0.2492196862975785,Davis,cold_drug,Validation,InHouse
XGBoost,0.7816144361315647,0.5084096442656267,0.6109211267692638,0.0170522443980047,0.3151802810927024,0.2888753414154053,0.024569304798602,Davis,cold_drug,Test,InHouse
GraphDTA,0.4606290528780356,0.2902107536792755,0.2121791243553161,0.6815049052238464,0.8469416109320953,0.17027187,0.7074207067489624,Davis,cold_drug,Training,InHouse
GraphDTA,0.9307529851295376,0.632097065448761,0.8663011193275452,0.08505779504776,0.4145710141645748,0.38035917,0.1712321043014526,Davis,cold_drug,Validation,InHouse
GraphDTA,0.8225927359179803,0.5561901926994324,0.6766588091850281,-0.0887168645858764,0.2086344218092932,0.3451333,-0.0664423704147338,Davis,cold_drug,Test,InHouse
FNN,0.4027372306478288,0.2370115965604782,0.1621972769498825,0.7565310001373291,0.8720202626211384,0.10475588,0.7579339742660522,Davis,cold_drug,Training,InHouse
FNN,0.8444010377451069,0.522822380065918,0.7130131125450134,0.2469525933265686,0.542606254391302,0.23452663,0.2836306691169739,Davis,cold_drug,Validation,InHouse
FNN,0.7903268711869539,0.4751241207122803,0.6246165633201599,-0.0049829483032226,0.3067026075035652,0.21860981,0.0108495354652404,Davis,cold_drug,Test,InHouse
DeepPurpose,0.6774271958546827,0.4260398335771621,0.4589076056835386,0.311148863262608,0.5751736006412984,0.2568936347961426,0.3116358212781543,Davis,cold_drug,Training,InHouse
DeepPurpose,0.7928969047344788,0.5544081705793898,0.6286855015375171,0.3360150250356201,0.5849687640955448,0.3504505157470703,0.3367183656241865,Davis,cold_drug,Validation,InHouse
DeepPurpose,0.7365526931225008,0.4733944019161786,0.5425098697460089,0.1271232316374377,0.3766326447400171,0.2984576225280761,0.1417911096405429,Davis,cold_drug,Test,InHouse
DCN,0.1345945115055696,0.092172585427761,0.0181156825274229,0.9728071689605712,0.9865899261990204,0.063135624,0.9733461737632751,Davis,cold_drug,Training,InHouse
DCN,0.9705038806438736,0.6582247614860535,0.941877782344818,0.0052376389503479,0.4683435169410246,0.38064766,0.0390765070915222,Davis,cold_drug,Validation,InHouse
DCN,0.9402851060938284,0.5993666052818298,0.8841360807418823,-0.4225395917892456,0.1731592559394066,0.28994656,-0.3600444793701172,Davis,cold_drug,Test,InHouse
GCN,0.3210662486604003,0.2108074575662613,0.103083536028862,0.8452646732330322,0.9194708328137252,0.12750101,0.845415472984314,Davis,cold_drug,Training,InHouse
GCN,0.9660720111511748,0.6564621329307556,0.9332951307296752,0.0143021941184997,0.500462559601468,0.44792843,0.0167431235313415,Davis,cold_drug,Validation,InHouse
GCN,1.0425483913762497,0.7344217300415039,1.086907148361206,-0.7487901449203491,0.1489021470181208,0.49020004,-0.7465502023696899,Davis,cold_drug,Test,InHouse
DeepDTA,0.6800595503915676,0.442518025636673,0.4624809920787811,-0.0093687772750854,0.00391524,0.2816105,-0.0093683004379272,Davis,cold_protein,Training,InHouse
DeepDTA,0.712926409097614,0.4646659791469574,0.5082640647888184,-0.0003999471664428,,0.28554106,0.0,Davis,cold_protein,Validation,InHouse
DeepDTA,0.7296802528560582,0.4808713793754577,0.532433271408081,-0.0003284215927124,,0.28554106,0.0,Davis,cold_protein,Test,InHouse
Diffusion,0.4087283756940588,0.2641822099685669,0.1670588850975036,0.7493710517883301,0.8708754276568381,0.15978909,0.7581093311309814,Davis,cold_protein,Training,InHouse
Diffusion,0.6989126547731663,0.4033397138118744,0.4884788990020752,0.3205845355987549,0.5963797199339513,0.17979527,0.3448017835617065,Davis,cold_protein,Validation,InHouse
Diffusion,0.7118557460013102,0.4147747159004211,0.5067386031150818,0.3322718143463135,0.6154084962134467,0.1855526,0.3679307103157043,Davis,cold_protein,Test,InHouse
Random Forest,0.212294290320983,0.1253828362057993,0.0450688657028898,0.9323857417787398,0.976647724284835,0.0608423020115185,0.9324204674815546,Davis,cold_protein,Training,InHouse
Random Forest,0.6811299889596185,0.411561919628409,0.46393806186013,0.3547179634362947,0.5971003075089925,0.2044718068500248,0.3561975462236114,Davis,cold_protein,Validation,InHouse
Random Forest,0.6676836159503894,0.41110661530332,0.4458014110085871,0.4125685295147958,0.6438969814521489,0.210501996705096,0.4126157899686899,Davis,cold_protein,Test,InHouse
SVR,0.7230442521595289,0.3753633634553526,0.5227929905809325,0.215683383415228,0.5071356376442419,0.0981096740282718,0.2564278737018468,Davis,cold_protein,Training,InHouse
SVR,0.7516351435121909,0.3773360138292326,0.5649553889625917,0.2142150128925416,0.5046351401672293,0.0991942726649384,0.2522885582094332,Davis,cold_protein,Validation,InHouse
SVR,0.7959744098278666,0.4144601182699831,0.6335752611008205,0.1651393690085626,0.4710656718780071,0.1017304926983135,0.2213008980353872,Davis,cold_protein,Test,InHouse
GBM,0.5985188286320815,0.3788977914748057,0.3582247882271189,0.4625757059847282,0.6917475006739802,0.2151917865665078,0.4625757059847282,Davis,cold_protein,Training,InHouse
GBM,0.7046762861876132,0.4441611961264382,0.4965686683151669,0.309332715019313,0.5580908461271867,0.2554712452398857,0.3097834955856968,Davis,cold_protein,Validation,InHouse
GBM,0.7180985951651087,0.4554054522410936,0.5156655923781026,0.3205086620879765,0.5691765449597302,0.2637426343331142,0.3209641164911428,Davis,cold_protein,Test,InHouse
Linear Regression,0.6575560547672419,0.4302652001208508,0.43237996516106,0.3513249078237875,0.5927266736947366,0.262270450592041,0.3513249097088555,Davis,cold_protein,Training,InHouse
Linear Regression,0.7612717294469287,0.5146224720775306,0.5795346460551177,0.1939370200274351,0.4753497694178921,0.3406794178037593,0.199093443836772,Davis,cold_protein,Validation,InHouse
Linear Regression,0.796152405425901,0.5530490903339995,0.6338586526654483,0.164765944610565,0.440551271503827,0.3882791996002197,0.1648826401202697,Davis,cold_protein,Test,InHouse
MLP,0.3040799836354494,0.1904260560460386,0.0924646364477352,0.8612805601470631,0.9330858237903732,0.1038935184478759,0.8650263672928137,Davis,cold_protein,Training,InHouse
MLP,0.7064804889671684,0.4062954776802033,0.4991146812912894,0.3057915172314814,0.6124591160788988,0.1465163230895996,0.3060818913739683,Davis,cold_protein,Validation,InHouse
MLP,0.7114525528450495,0.4027322361532579,0.5061647349497379,0.3330279195694363,0.622168877169545,0.1453797817230224,0.3357490996545169,Davis,cold_protein,Test,InHouse
XGBoost,0.2442909737879954,0.1648044850639962,0.059678079874287,0.9104683679112362,0.9583007354450938,0.1036181449890136,0.9104683905003624,Davis,cold_protein,Training,InHouse
XGBoost,0.7199140826987481,0.4559117133942919,0.51827628646798,0.2791400293956499,0.5479284926490661,0.2335755825042724,0.2808506898061068,Davis,cold_protein,Validation,InHouse
XGBoost,0.6871362395505886,0.4267810108488188,0.4721562117037238,0.3778408706416156,0.6195879949884816,0.2122871760516602,0.3778559243570548,Davis,cold_protein,Test,InHouse
GraphDTA,0.6865731624214615,0.4453511238098144,0.4713827073574066,0.2928113341331482,0.596198182037257,0.27930307,0.3553211092948913,Davis,cold_protein,Training,InHouse
GraphDTA,0.8179745008089763,0.4837414026260376,0.6690822839736938,0.0693868994712829,0.4062222589218898,0.26424098,0.1516757607460022,Davis,cold_protein,Validation,InHouse
GraphDTA,0.8784667208821392,0.5458512902259827,0.7717037796974182,-0.0168721675872802,0.3890045568495694,0.32216,0.132754385471344,Davis,cold_protein,Test,InHouse
FNN,0.3880210296152459,0.2138081490993499,0.1505603194236755,0.7741228938102722,0.8808221051827037,0.06690717,0.7741492390632629,Davis,cold_protein,Training,InHouse
FNN,0.6756090815854104,0.3766404986381531,0.4564476311206817,0.3651362061500549,0.6289922432067396,0.10939765,0.3653757572174072,Davis,cold_protein,Validation,InHouse
FNN,0.6727951092560982,0.3672234117984772,0.4526532590389251,0.4035399556159973,0.6460690265914204,0.09309435,0.4086026549339294,Davis,cold_protein,Test,InHouse
DeepPurpose,0.4859181475126657,0.2966159060280681,0.2361164460821407,0.645767913021595,0.80360613688518,0.1482200622558593,0.6457828199094358,Davis,cold_protein,Training,InHouse
DeepPurpose,0.6673917192895987,0.3853321448845532,0.4454117069763265,0.3804858945294905,0.6183348694259628,0.1681339746528811,0.3823371282434925,Davis,cold_protein,Validation,InHouse
DeepPurpose,0.6833943215005682,0.4060456412942,0.4670277986592219,0.3845985684451545,0.6228783172564176,0.1886914002891142,0.3878211858011814,Davis,cold_protein,Test,InHouse
DCN,0.1002938278889468,0.069389559328556,0.0100588519126176,0.9849092960357666,0.9926272933753264,0.048147917,0.9850648641586304,Davis,cold_protein,Training,InHouse
DCN,0.7031816459726052,0.4186895489692688,0.4944644272327423,0.3122594356536865,0.6015046057657081,0.17968488,0.3134714961051941,Davis,cold_protein,Validation,InHouse
DCN,0.6945899681097848,0.4103207290172577,0.4824552237987518,0.3642699718475342,0.6285953250472431,0.17749977,0.3674614429473877,Davis,cold_protein,Test,InHouse
GCN,0.3065917346636543,0.2097665220499038,0.0939984917640686,0.8589794039726257,0.9277767443555768,0.13724113,0.8605008125305176,Davis,cold_protein,Training,InHouse
GCN,0.7187169938179832,0.4398741722106933,0.5165541172027588,0.281535267829895,0.5967730333537489,0.20355678,0.282306969165802,Davis,cold_protein,Validation,InHouse
