Drug Chembl ID,Drug Name,Clinical Trial Phase
CHEMBL600764,Gnf-Pf-1127,
CHEMBL71611,Chembl71611,
CHEMBL72388,Chembl72388,
CHEMBL1046,Aminocaproic Acid,4.0
CHEMBL1142,4-Aminophenol,
CHEMBL1200440,Mepivacaine Hydrochloride,4.0
CHEMBL121720,Chembl121720,
CHEMBL1234009,Chembl1234009,
CHEMBL1234200,Chembl1234200,
CHEMBL1235482,Glutaral,2.0
CHEMBL1235872,Sucrosofate,-1.0
CHEMBL1237122,Carboprost,4.0
CHEMBL1241239,Concanamycin A,
CHEMBL1256,Isoflurane,4.0
CHEMBL1257423,Chembl1257423,
CHEMBL1274,Nilutamide,4.0
CHEMBL1323,Darunavir,4.0
CHEMBL1490434,Moroxydine,2.0
CHEMBL1532,Quinethazone,4.0
CHEMBL1651956,Alisporivir,3.0
CHEMBL1683590,Eribulin,4.0
CHEMBL174214,Chembl174214,
CHEMBL1823221,Chembl1823221,
CHEMBL1908847,Sparteine,4.0
CHEMBL1938400,Pf-03715455,2.0
CHEMBL1964245,Chembl1964245,
CHEMBL197277,Chembl197277,
CHEMBL1997663,Ethacizine,-1.0
CHEMBL2035460,Ethaselen,1.0
CHEMBL2063318,Chembl2063318,
CHEMBL2110603,Benzoctamine,2.0
CHEMBL2153646,Chembl2153646,
CHEMBL2365665,Deslorelin,2.0
CHEMBL2407898,Chembl2407898,
CHEMBL270058,Chembl270058,
CHEMBL270512,Chembl270512,
CHEMBL271430,Chembl271430,
CHEMBL3040440,Vs-4718,1.0
CHEMBL3040861,Chembl3040861,
CHEMBL3094406,Chembl3094406,
CHEMBL3137309,Venetoclax,4.0
CHEMBL3236366,Chembl3236366,
CHEMBL3265032,Entospletinib,3.0
CHEMBL3408943,Chembl3408943,
CHEMBL3408944,Chembl3408944,
CHEMBL3422094,Chembl3422094,
CHEMBL3544960,At-13148,1.0
CHEMBL3545232,Aqw051,2.0
CHEMBL365237,Chembl365237,
CHEMBL3694769,Pbf-509,1.0
CHEMBL3904602,Lerociclib,3.0
CHEMBL3950873,Chembl3950873,
CHEMBL4069220,Dndi-0690,1.0
CHEMBL4072833,Evobrutinib,3.0
CHEMBL4080343,Chembl4080343,
CHEMBL4091820,Chembl4091820,
CHEMBL4244717,Chembl4244717,
CHEMBL428690,Alvocidib,3.0
CHEMBL4297268,Bms-275183,2.0
CHEMBL452715,Alanosine,2.0
CHEMBL563196,Chembl563196,
CHEMBL568483,Chembl568483,
CHEMBL589583,Delapril,3.0
CHEMBL593335,Chembl593335,
CHEMBL64,Isoniazid,4.0
CHEMBL6466,Coumarin,4.0
CHEMBL667,Acetylcholine,4.0
CHEMBL96862,Chembl96862,
CHEMBL1078275,Chembl1078275,
CHEMBL1095788,Chembl1095788,
CHEMBL1097140,Chembl1097140,
CHEMBL1200673,Xenon Xe 127,4.0
CHEMBL1200710,Clomipramine Hydrochloride,4.0
CHEMBL1201027,Glycopyrrolate,4.0
CHEMBL1201032,Rizatriptan Benzoate,4.0
CHEMBL1234956,Fr258900,
CHEMBL1277001,Mibampator,2.0
CHEMBL13852,Cirazoline,2.0
CHEMBL14145,4-Phenylimidazole,
CHEMBL1500155,Chembl1500155,
CHEMBL1566,Acarbose,4.0
CHEMBL1651524,Pf-3845,
CHEMBL1652621,Afn-1252,2.0
CHEMBL1730,Cefotaxime,4.0
CHEMBL1740659,Fursultiamine,4.0
CHEMBL1779539,Chembl1779539,
CHEMBL1819138,Chembl1819138,
CHEMBL2063326,Chembl2063326,
CHEMBL2078836,Chembl2078836,
CHEMBL2103830,Fostamatinib,4.0
CHEMBL2103870,Lumacaftor,4.0
CHEMBL2105275,Propylhexedrine,2.0
CHEMBL2105794,Sodium Hydroxide,-1.0
CHEMBL2107457,Itopride,3.0
CHEMBL2111047,Prolintane,2.0
CHEMBL233209,Chembl233209,
CHEMBL2407893,Chembl2407893,
CHEMBL278172,Benzocaine,4.0
CHEMBL284092,Gepirone,4.0
CHEMBL295830,Cycloleucine,
CHEMBL309415,Chembl309415,
CHEMBL310554,Chembl310554,
CHEMBL3188084,Chembl3188084,
CHEMBL337204,Chembl337204,
CHEMBL3393464,Chembl3393464,
CHEMBL3422098,Chembl3422098,
CHEMBL3582294,Chembl3582294,
CHEMBL363614,Benzofuran,
CHEMBL38700,Elvucitabine,2.0
CHEMBL3989750,Glucosamine Sulfate,4.0
CHEMBL3989858,Magnesium Acetate Tetrahydrate,4.0
CHEMBL4172511,Chembl4172511,
CHEMBL4297352,Azd-1236,2.0
CHEMBL429910,Dapagliflozin,4.0
CHEMBL432537,Gnf-Pf-3777,
CHEMBL4558528,Chembl4558528,
CHEMBL456163,Chembl456163,
