Drug,cluster,Selectivity_Score,entropy_sel_n,gini_sel_n,kurt_n,gap_n,sr_n,Type,x,y,Drug Chembl ID,Drug Name,Clinical Trial Phase
CHEMBL2105845,2,0.21817842329014417,0.22557138624823164,0.003910617153584727,0.4475208746726946,0.16704006872090205,0.1515909861066998,Type I: Highly Selective,2.6731024,7.3001585,CHEMBL2105845,Valomaciclovir Stearate,2.0
CHEMBL2105857,0,0.09902891598582762,0.04303483314040609,0.00040767529077256177,0.14420841023490638,0.05355530328268921,0.047957899489738935,Type III: Broad-spectrum,11.865173,-0.5247041,CHEMBL2105857,Afeletecan,2.0
CHEMBL2105862,0,0.1295828159830003,0.0625632275832895,0.0005523821687022478,0.19277871773853866,0.099061961180709,0.0859675577357854,Type III: Broad-spectrum,8.257453,0.28271395,CHEMBL2105862,Iseganan Hydrochloride,3.0
CHEMBL2105864,0,0.1427092427600144,0.0669894795622067,0.0006484757407429765,0.20709343321216092,0.12857969679096073,0.11086227912176241,Type III: Broad-spectrum,6.0643234,0.7503237,CHEMBL2105864,Labradimil,2.0
CHEMBL2105872,2,0.22657921164189826,0.2108496806584655,0.0034523487893387706,0.6127000349525389,0.15023518449006476,0.1349663487513457,Type I: Highly Selective,2.8155458,8.56644,CHEMBL2105872,Ibutamoren Mesylate,2.0
CHEMBL2105883,0,0.03766433685652265,0.042007102430909195,0.00032745348569090667,0.1014957106962048,0.01914958684983622,0.02309288575111918,Type III: Broad-spectrum,14.014782,-0.27383223,CHEMBL2105883,Vinyl Ether,-1.0
CHEMBL2105890,0,0.15786239161018328,0.04183675987645094,0.00027527188603510564,0.4046999273202832,0.12139809004130266,0.1016753777829691,Type III: Broad-spectrum,5.2453628,3.3287015,CHEMBL2105890,Mitemcinal Fumarate,2.0
CHEMBL2105894,0,0.10653432880750224,0.0963805543435669,0.0012900875576985374,0.5066065168795221,0.029829608184246292,0.0338483749917742,Type III: Broad-spectrum,10.349333,9.270008,CHEMBL2105894,"Potash, Sulfurated",
CHEMBL2105897,0,0.10622293065159177,0.12929893404642698,0.0018232429433787587,0.42415070878587097,0.006750186311212081,0.007359321234877815,Type III: Broad-spectrum,10.328342,8.669638,CHEMBL2105897,Barium Sulfate,4.0
CHEMBL2105902,0,0.1729499550692509,0.11843915421423894,0.0015258957891130561,0.21181430509099167,0.15748989430777346,0.13186363087028083,Type III: Broad-spectrum,4.4481196,1.9355214,CHEMBL2105902,Batabulin Sodium,2.0
CHEMBL2105907,2,0.22604537075257444,0.27255609535266057,0.005307815459572681,0.45578652265343866,0.13253669952445393,0.11770806145095804,Type I: Highly Selective,2.5357647,8.2066765,CHEMBL2105907,Azidocillin,2.0
CHEMBL2105910,2,0.14457837565259493,0.16900252447332886,0.0024107012575404667,0.41164550757674645,0.044848071836577116,0.044318282930412144,Type I: Highly Selective,8.069581,8.6128845,CHEMBL2105910,Benproperine,2.0
CHEMBL210593,1,0.22764675148243252,0.12331761902239212,0.0014062480126108199,0.1839941472781022,0.3999935368045072,0.38133253605831047,Type II: Moderate poly-target,-1.5373887,0.6130702,CHEMBL210593,Chembl210593,
