cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,reason,or,ci_lower,ci_upper,p_value,se,n,n_events,n_covariates
AvsB_1to2_full,B,2,full,3,730,2y,24096,48192,35,148,success,,0.4272,0.2927,0.6235,1.0371432296824197e-05,0.1929,72288.0,183.0,14.0
AvsB_1to2_full,B,2,full,3,1095,3y,24096,48192,52,189,success,,0.4939,0.3592,0.6792,1.4204277431924349e-05,0.1625,72288.0,241.0,14.0
AvsB_1to2_full,B,2,full,3,1825,5y,24096,48192,75,249,failed,non-convergence,,,,,,,,
AvsB_1to2_full,B,2,full,4,365,1y,24096,48192,17,100,success,,0.305,0.1808,0.5147,8.640428893125264e-06,0.2669,72288.0,117.0,14.0
AvsB_1to2_full,B,2,full,4,730,2y,24096,48192,35,144,success,,0.4333,0.2964,0.6335,1.5907632650715458e-05,0.1938,72288.0,179.0,14.0
AvsB_1to2_full,B,2,full,4,1095,3y,24096,48192,52,184,success,,0.5036,0.3659,0.693,2.546996586541697e-05,0.1629,72288.0,236.0,14.0
AvsB_1to2_full,B,2,full,4,1825,5y,24096,48192,75,236,success,,0.5705,0.434,0.7499,5.73852991179797e-05,0.1395,72288.0,311.0,14.0
AvsB_1to2_full,B,2,full,5,365,1y,24096,48192,17,117,success,,0.2633,0.1568,0.4422,4.5433453031543283e-07,0.2645,72288.0,134.0,14.0
AvsB_1to2_full,B,2,full,5,730,2y,24096,48192,35,148,success,,0.4366,0.2988,0.6379,1.8382040525635237e-05,0.1935,72288.0,183.0,14.0
AvsB_1to2_full,B,2,full,5,1095,3y,24096,48192,52,183,success,,0.5162,0.3743,0.712,5.562837170414545e-05,0.1641,72288.0,235.0,14.0
AvsB_1to2_full,B,2,full,5,1825,5y,24096,48192,75,231,success,,0.5902,0.4482,0.7773,0.00017445463910010196,0.1405,72288.0,306.0,14.0
AvsB_1to2_full,B,2,full,6,365,1y,24096,48192,17,91,success,,0.347,0.2054,0.5863,7.645002340775624e-05,0.2676,72288.0,108.0,14.0
AvsB_1to2_full,B,2,full,6,730,2y,24096,48192,35,143,success,,0.4472,0.306,0.6537,3.2487305011627726e-05,0.1936,72288.0,178.0,14.0
AvsB_1to2_full,B,2,full,6,1095,3y,24096,48192,52,191,success,,0.4891,0.3557,0.6726,1.084692133307898e-05,0.1625,72288.0,243.0,14.0
AvsB_1to2_full,B,2,full,6,1825,5y,24096,48192,75,231,success,,0.5861,0.4454,0.7712,0.00013575661713617295,0.14,72288.0,306.0,14.0
AvsB_1to2_full,B,2,full,7,365,1y,24096,48188,17,66,success,,0.4657,0.2716,0.7986,0.005480593570766336,0.2752,72284.0,83.0,14.0
AvsB_1to2_full,B,2,full,7,730,2y,24096,48188,35,123,success,,0.4991,0.3402,0.7324,0.00038297854564417206,0.1957,72284.0,158.0,14.0
AvsB_1to2_full,B,2,full,7,1095,3y,24096,48188,52,154,success,,0.5907,0.4271,0.817,0.0014666802687013341,0.1655,72284.0,206.0,14.0
AvsB_1to2_full,B,2,full,7,1825,5y,24096,48188,75,232,success,,0.5472,0.4164,0.7191,1.522197231383641e-05,0.1394,72284.0,307.0,14.0
AvsB_1to2_full,B,2,full,8,365,1y,24096,48192,17,109,success,,0.2989,0.1775,0.5033,5.54637152090977e-06,0.2658,72288.0,126.0,14.0
AvsB_1to2_full,B,2,full,8,730,2y,24096,48192,35,152,success,,0.4413,0.3023,0.6442,2.247612579930441e-05,0.193,72288.0,187.0,14.0
AvsB_1to2_full,B,2,full,8,1095,3y,24096,48192,52,186,success,,0.5361,0.3892,0.7382,0.00013413150814839392,0.1633,72288.0,238.0,14.0
AvsB_1to2_full,B,2,full,8,1825,5y,24096,48192,75,228,success,,0.6194,0.4704,0.8157,0.0006491543144340799,0.1404,72288.0,303.0,14.0
AvsB_1to2_full,B,2,full,9,365,1y,24096,48192,17,81,success,,0.3965,0.2331,0.6743,0.0006388291024846889,0.2709,72288.0,98.0,14.0
AvsB_1to2_full,B,2,full,9,730,2y,24096,48192,35,131,success,,0.5023,0.3424,0.7368,0.00042801400682106693,0.1955,72288.0,166.0,14.0
