cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,hr,ci_lower,ci_upper,p_value,n_events,n,concordance
AvsB_1to2_full,B,2,full,1,1825,5y,24096,48192,75,248,success,0.8532,0.7498,0.971,0.016121727602623842,323,72288,0.9698
AvsB_1to2_full,B,2,full,2,365,1y,24096,48186,17,77,success,0.9223,0.7973,1.067,0.2766188733385328,94,72282,0.9584
AvsB_1to2_full,B,2,full,2,730,2y,24096,48186,35,124,success,0.9083,0.7893,1.0451,0.17892723868193164,159,72282,0.9597
AvsB_1to2_full,B,2,full,2,1095,3y,24096,48186,52,174,success,0.889,0.7763,1.018,0.08869046930951359,226,72282,0.9648
AvsB_1to2_full,B,2,full,2,1825,5y,24096,48186,75,237,success,0.8728,0.7664,0.9939,0.040212680415655004,312,72282,0.9683
AvsB_1to2_full,B,2,full,3,365,1y,24096,48192,17,115,success,0.8641,0.7492,0.9966,0.04473346721715492,132,72288,0.9655
AvsB_1to2_full,B,2,full,3,730,2y,24096,48192,35,148,success,0.8734,0.7603,1.0033,0.05561997121494028,183,72288,0.9662
AvsB_1to2_full,B,2,full,3,1095,3y,24096,48192,52,189,success,0.8681,0.7588,0.9931,0.03929804318299863,241,72288,0.9682
AvsB_1to2_full,B,2,full,3,1825,5y,24096,48192,75,249,success,0.8567,0.7528,0.975,0.019112323294844403,324,72288,0.9715
AvsB_1to2_full,B,2,full,4,365,1y,24096,48192,17,100,success,0.8842,0.7658,1.021,0.09352728089883154,117,72288,0.9668
AvsB_1to2_full,B,2,full,4,730,2y,24096,48192,35,144,success,0.8759,0.7623,1.0064,0.06145946286952983,179,72288,0.9664
AvsB_1to2_full,B,2,full,4,1095,3y,24096,48192,52,184,success,0.8705,0.7608,0.9961,0.04372619354341045,236,72288,0.9675
AvsB_1to2_full,B,2,full,4,1825,5y,24096,48192,75,236,success,0.8671,0.7615,0.9874,0.03148503420619607,311,72288,0.97
AvsB_1to2_full,B,2,full,5,365,1y,24096,48192,17,117,success,0.8595,0.7453,0.9911,0.037236001495928366,134,72288,0.966
AvsB_1to2_full,B,2,full,5,730,2y,24096,48192,35,148,success,0.871,0.7583,1.0005,0.05089100253619276,183,72288,0.9657
AvsB_1to2_full,B,2,full,5,1095,3y,24096,48192,52,183,success,0.8722,0.7621,0.9981,0.046796866758705064,235,72288,0.9682
AvsB_1to2_full,B,2,full,5,1825,5y,24096,48192,75,231,success,0.873,0.7664,0.9943,0.040756299380762695,306,72288,0.9695
AvsB_1to2_full,B,2,full,6,365,1y,24096,48192,17,91,success,0.8994,0.7783,1.0392,0.15024328690313696,108,72288,0.9578
AvsB_1to2_full,B,2,full,6,730,2y,24096,48192,35,143,success,0.8791,0.7651,1.0102,0.06929324069962606,178,72288,0.9633
AvsB_1to2_full,B,2,full,6,1095,3y,24096,48192,52,191,success,0.8633,0.7547,0.9874,0.03200843851236139,243,72288,0.9669
AvsB_1to2_full,B,2,full,6,1825,5y,24096,48192,75,231,success,0.8747,0.7679,0.9963,0.04383939852249805,306,72288,0.9688
AvsB_1to2_full,B,2,full,7,365,1y,24096,48188,17,66,success,0.9397,0.8116,1.0881,0.4059556244572984,83,72284,0.9586
AvsB_1to2_full,B,2,full,7,730,2y,24096,48188,35,123,success,0.9071,0.7883,1.0437,0.17319337952205094,158,72284,0.9623
AvsB_1to2_full,B,2,full,7,1095,3y,24096,48188,52,154,success,0.9126,0.796,1.0462,0.1895982051227766,206,72284,0.9645
AvsB_1to2_full,B,2,full,7,1825,5y,24096,48188,75,232,success,0.8716,0.7653,0.9927,0.038378272543313316,307,72284,0.9681
AvsB_1to2_full,B,2,full,8,365,1y,24096,48192,17,109,success,0.8725,0.7562,1.0068,0.06186234371183601,126,72288,0.9651
AvsB_1to2_full,B,2,full,8,730,2y,24096,48192,35,152,success,0.8679,0.7557,0.9967,0.044776795640625255,187,72288,0.9663
AvsB_1to2_full,B,2,full,8,1095,3y,24096,48192,52,186,success,0.8721,0.7621,0.9979,0.0464675983016608,238,72288,0.9675
AvsB_1to2_full,B,2,full,8,1825,5y,24096,48192,75,228,success,0.8814,0.7737,1.0042,0.05785485991359196,303,72288,0.9682
AvsB_1to2_full,B,2,full,9,365,1y,24096,48192,17,81,success,0.9152,0.7914,1.0584,0.2320863624199767,98,72288,0.9601
AvsB_1to2_full,B,2,full,9,730,2y,24096,48192,35,131,success,0.8969,0.7799,1.0315,0.127149376405779,166,72288,0.9642
AvsB_1to2_full,B,2,full,9,1095,3y,24096,48192,52,155,success,0.9136,0.7969,1.0474,0.19507586922078668,207,72288,0.9668
AvsB_1to2_full,B,2,full,9,1825,5y,24096,48192,75,205,success,0.9106,0.7983,1.0388,0.16335567224208813,280,72288,0.97
AvsB_1to2_simple,B,2,simple,0,365,1y,24063,48126,17,86,success,0.9092,0.7864,1.0511,0.1982881199965831,103,72189,0.9638
AvsB_1to2_simple,B,2,simple,0,730,2y,24063,48126,35,153,success,0.8708,0.7582,1.0002,0.050324795142006905,188,72189,0.9634
AvsB_1to2_simple,B,2,simple,0,1095,3y,24063,48126,52,170,success,0.899,0.7848,1.0299,0.12473353489957077,222,72189,0.957
AvsB_1to2_simple,B,2,simple,0,1825,5y,24063,48126,75,178,success,0.9565,0.8371,1.093,0.5137212198474979,253,72189,0.9584
AvsC_1to1_full,C,1,full,0,365,1y,24096,24096,17,44,success,0.9027,0.7629,1.0681,0.23318987984478082,61,48192,0.9548
AvsC_1to1_full,C,1,full,0,730,2y,24096,24096,35,67,success,0.8899,0.7566,1.0467,0.1589304443537966,102,48192,0.9516
AvsC_1to1_full,C,1,full,0,1095,3y,24096,24096,52,94,success,0.865,0.7396,1.0115,0.06924683616337925,146,48192,0.9603
AvsC_1to1_full,C,1,full,0,1825,5y,24096,24096,75,127,success,0.8435,0.726,0.9801,0.026215069957627516,202,48192,0.9656
AvsC_1to1_full,C,1,full,1,365,1y,24096,24096,17,50,success,0.8842,0.748,1.0453,0.1495122355145038,67,48192,0.9597
AvsC_1to1_full,C,1,full,1,730,2y,24096,24096,35,84,success,0.8432,0.7185,0.9895,0.03665119893921787,119,48192,0.9634
AvsC_1to1_full,C,1,full,1,1095,3y,24096,24096,52,96,success,0.8604,0.7359,1.0059,0.059343699027861574,148,48192,0.9625
AvsC_1to1_full,C,1,full,1,1825,5y,24096,24096,75,124,success,0.8523,0.7333,0.9906,0.03718628693983187,199,48192,0.9652
AvsC_1to1_full,C,1,full,2,365,1y,24096,24096,17,61,success,0.8527,0.7225,1.0064,0.05945157876358963,78,48192,0.9573
AvsC_1to1_full,C,1,full,2,730,2y,24096,24096,35,86,success,0.8408,0.7167,0.9865,0.033427289539363865,121,48192,0.9592
AvsC_1to1_full,C,1,full,2,1095,3y,24096,24096,52,97,success,0.8625,0.7378,1.0082,0.0633002807631154,149,48192,0.9618
AvsC_1to1_full,C,1,full,2,1825,5y,24096,24096,75,138,success,0.8286,0.7139,0.9616,0.013311429458875267,213,48192,0.9665
AvsC_1to1_full,C,1,full,3,365,1y,24096,24096,17,53,success,0.8759,0.7412,1.0349,0.11957659891328885,70,48192,0.9575
AvsC_1to1_full,C,1,full,3,730,2y,24096,24096,35,76,success,0.8666,0.7377,1.0181,0.08151760803690408,111,48192,0.9603
AvsC_1to1_full,C,1,full,3,1095,3y,24096,24096,52,95,success,0.8657,0.7404,1.0122,0.07068435604814863,147,48192,0.9628
AvsC_1to1_full,C,1,full,3,1825,5y,24096,24096,75,118,success,0.8706,0.7486,1.0125,0.07209259249633677,193,48192,0.9658
AvsC_1to1_full,C,1,full,4,365,1y,24096,24096,17,62,success,0.8493,0.7197,1.0022,0.05317993059942385,79,48192,0.9622
AvsC_1to1_full,C,1,full,4,730,2y,24096,24096,35,85,success,0.8421,0.7177,0.9881,0.03511734905977223,120,48192,0.9637
AvsC_1to1_full,C,1,full,4,1095,3y,24096,24096,52,109,success,0.829,0.7102,0.9678,0.01755779056758468,161,48192,0.9611
AvsC_1to1_full,C,1,full,4,1825,5y,24096,24096,75,149,success,0.7977,0.6881,0.9247,0.0027168276939873066,224,48192,0.9649
AvsC_1to1_full,C,1,full,5,365,1y,24096,24096,17,30,success,0.9502,0.8013,1.1268,0.5568603033822641,47,48192,0.9603
AvsC_1to1_full,C,1,full,5,730,2y,24096,24096,35,49,success,0.9472,0.8033,1.1169,0.518960824402741,84,48192,0.9608
AvsC_1to1_full,C,1,full,5,1095,3y,24096,24096,52,64,success,0.9531,0.8119,1.1189,0.5574024132000375,116,48192,0.9619
AvsC_1to1_full,C,1,full,5,1825,5y,24096,24096,75,78,success,0.9786,0.8376,1.1433,0.7849793621861461,153,48192,0.9649
AvsC_1to1_full,C,1,full,6,365,1y,24096,24096,17,58,success,0.8614,0.7295,1.0171,0.07844279255426219,75,48192,0.9537
AvsC_1to1_full,C,1,full,6,730,2y,24096,24096,35,78,success,0.8619,0.7339,1.0123,0.0700833641407373,113,48192,0.9577
