cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,ir_treat,ir_treat_lo,ir_treat_hi,ir_ctrl,ir_ctrl_lo,ir_ctrl_hi,irr,irr_lo,irr_hi
AvsC_1to1_full,C,1,full,1,1095,3y,24096,24096,52,96,0.7206,0.5382,0.945,1.3325,1.0793,1.6272,0.5408,0.3859,0.7579
AvsC_1to1_full,C,1,full,1,1825,5y,24096,24096,75,124,0.624,0.4908,0.7822,1.0334,0.8596,1.2322,0.6038,0.4533,0.8043
AvsC_1to1_full,C,1,full,2,365,1y,24096,24096,17,61,0.7063,0.4114,1.1308,2.5376,1.9411,3.2597,0.2783,0.1626,0.4765
AvsC_1to1_full,C,1,full,2,730,2y,24096,24096,35,86,0.7273,0.5066,1.0115,1.79,1.4318,2.2107,0.4063,0.2743,0.6019
AvsC_1to1_full,C,1,full,2,1095,3y,24096,24096,52,97,0.7206,0.5382,0.945,1.3466,1.092,1.6428,0.5351,0.3821,0.7495
AvsC_1to1_full,C,1,full,2,1825,5y,24096,24096,75,138,0.624,0.4908,0.7822,1.1504,0.9665,1.3591,0.5424,0.4095,0.7185
AvsC_1to1_full,C,1,full,3,365,1y,24096,24096,17,53,0.7063,0.4114,1.1308,2.2038,1.6508,2.8827,0.3205,0.1856,0.5534
AvsC_1to1_full,C,1,full,3,730,2y,24096,24096,35,76,0.7273,0.5066,1.0115,1.5811,1.2458,1.979,0.46,0.3082,0.6865
AvsC_1to1_full,C,1,full,3,1095,3y,24096,24096,52,95,0.7206,0.5382,0.945,1.3183,1.0666,1.6116,0.5466,0.3898,0.7665
AvsC_1to1_full,C,1,full,3,1825,5y,24096,24096,75,118,0.624,0.4908,0.7822,0.9833,0.8139,1.1776,0.6346,0.4751,0.8476
AvsC_1to1_full,C,1,full,4,365,1y,24096,24096,17,62,0.7063,0.4114,1.1308,2.5789,1.9772,3.306,0.2739,0.1601,0.4684
AvsC_1to1_full,C,1,full,4,730,2y,24096,24096,35,85,0.7273,0.5066,1.0115,1.7691,1.4131,2.1875,0.4111,0.2773,0.6094
AvsC_1to1_full,C,1,full,4,1095,3y,24096,24096,52,109,0.7206,0.5382,0.945,1.5133,1.2426,1.8255,0.4762,0.3422,0.6626
AvsC_1to1_full,C,1,full,4,1825,5y,24096,24096,75,149,0.624,0.4908,0.7822,1.2424,1.0509,1.4586,0.5023,0.3805,0.6629
AvsC_1to1_full,C,1,full,5,365,1y,24096,24096,17,30,0.7063,0.4114,1.1308,1.2469,0.8413,1.7801,0.5664,0.3124,1.027
AvsC_1to1_full,C,1,full,5,730,2y,24096,24096,35,49,0.7273,0.5066,1.0115,1.0187,0.7537,1.3468,0.7139,0.4627,1.1017
AvsC_1to1_full,C,1,full,5,1095,3y,24096,24096,52,64,0.7206,0.5382,0.945,0.8874,0.6834,1.1332,0.812,0.5632,1.1708
AvsC_1to1_full,C,1,full,5,1825,5y,24096,24096,75,78,0.624,0.4908,0.7822,0.6492,0.5132,0.8103,0.9612,0.7001,1.3197
AvsC_1to1_full,C,1,full,6,365,1y,24096,24096,17,58,0.7063,0.4114,1.1308,2.4123,1.8318,3.1185,0.2928,0.1705,0.5027
