cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,hr,ci_lower,ci_upper,p_value,n_events,n,concordance
AvsC_1to1_full,C,1,full,2,730,2y,52146,52146,351,423,success,0.9304,0.8485,1.0203,0.12529111183862754,774,104292,0.9515
AvsC_1to1_full,C,1,full,2,1095,3y,52146,52146,445,547,success,0.9178,0.8411,1.0014,0.05370727607889478,992,104292,0.9536
AvsC_1to1_full,C,1,full,2,1825,5y,52146,52146,610,788,success,0.8757,0.8086,0.9485,0.0011145952102054036,1398,104292,0.9534
AvsC_1to1_full,C,1,full,3,365,1y,52146,52146,234,230,success,1.0144,0.9169,1.1224,0.7809552625160445,464,104292,0.9443
AvsC_1to1_full,C,1,full,3,730,2y,52146,52146,351,359,success,1.0028,0.913,1.1015,0.9530411573107754,710,104292,0.9466
AvsC_1to1_full,C,1,full,3,1095,3y,52146,52146,445,442,success,1.0237,0.9361,1.1195,0.6083623610450138,887,104292,0.9451
AvsC_1to1_full,C,1,full,3,1825,5y,52146,52146,610,648,success,0.9946,0.9163,1.0796,0.8972529618942222,1258,104292,0.947
AvsC_1to1_full,C,1,full,4,365,1y,52146,52146,234,215,success,1.0302,0.9307,1.1404,0.5658924842285042,449,104292,0.9403
AvsC_1to1_full,C,1,full,4,730,2y,52146,52146,351,315,success,1.0482,0.9532,1.1526,0.331844864536135,666,104292,0.9436
AvsC_1to1_full,C,1,full,4,1095,3y,52146,52146,445,410,success,1.0467,0.9565,1.1455,0.320934229000404,855,104292,0.9441
AvsC_1to1_full,C,1,full,4,1825,5y,52146,52146,610,599,success,1.0311,0.9491,1.1202,0.46839815993521106,1209,104292,0.9482
AvsC_1to1_full,C,1,full,5,365,1y,52146,52146,234,246,success,0.9942,0.8991,1.0994,0.9105127872763755,480,104292,0.9415
AvsC_1to1_full,C,1,full,5,730,2y,52146,52146,351,419,success,0.9454,0.8621,1.0368,0.23314586910420618,770,104292,0.9491
AvsC_1to1_full,C,1,full,5,1095,3y,52146,52146,445,495,success,0.9733,0.8911,1.0632,0.5485082320462376,940,104292,0.9516
AvsC_1to1_full,C,1,full,5,1825,5y,52146,52146,610,620,success,1.0178,0.9372,1.1053,0.6755876202239367,1230,104292,0.951
AvsC_1to1_full,C,1,full,6,365,1y,52146,52146,234,254,success,0.9811,0.8875,1.0847,0.709821984285646,488,104292,0.9468
AvsC_1to1_full,C,1,full,6,730,2y,52146,52146,351,364,success,0.9904,0.9018,1.0877,0.8399758625696656,715,104292,0.9467
AvsC_1to1_full,C,1,full,6,1095,3y,52146,52146,445,564,success,0.904,0.8288,0.9862,0.022965682688707745,1009,104292,0.9474
AvsC_1to1_full,C,1,full,6,1825,5y,52146,52146,610,657,success,0.9755,0.8987,1.0588,0.5530063355730368,1267,104292,0.9472
AvsC_1to1_full,C,1,full,7,365,1y,52146,52146,234,270,success,0.9745,0.8819,1.0768,0.611446155487678,504,104292,0.9467
AvsC_1to1_full,C,1,full,7,730,2y,52146,52146,351,452,success,0.9307,0.8492,1.0199,0.1239668841068419,803,104292,0.9487
