cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,ir_treat,ir_treat_lo,ir_treat_hi,ir_ctrl,ir_ctrl_lo,ir_ctrl_hi,irr,irr_lo,irr_hi
AvsB_1to2_full,B,2,full,4,1825,5y,52147,104294,610,1449,2.3585,2.175,2.5533,2.8059,2.6633,2.9542,0.8406,0.7647,0.9239
AvsB_1to2_full,B,2,full,5,365,1y,52147,104294,234,514,4.5037,3.9451,5.1192,4.9477,4.5292,5.3945,0.9103,0.7799,1.0624
AvsB_1to2_full,B,2,full,5,730,2y,52147,104294,351,789,3.3824,3.0378,3.7554,3.8031,3.5423,4.078,0.8894,0.7843,1.0086
AvsB_1to2_full,B,2,full,5,1095,3y,52147,104294,445,976,2.862,2.6023,3.1407,3.1403,2.9464,3.3437,0.9114,0.8147,1.0195
AvsB_1to2_full,B,2,full,5,1825,5y,52147,104294,610,1282,2.3585,2.175,2.5533,2.4799,2.346,2.6194,0.951,0.8636,1.0473
AvsB_1to2_full,B,2,full,6,365,1y,52147,104294,234,558,4.5037,3.9451,5.1192,5.3723,4.9358,5.8372,0.8383,0.7196,0.9766
AvsB_1to2_full,B,2,full,6,730,2y,52147,104294,351,834,3.3824,3.0378,3.7554,4.0215,3.7531,4.3039,0.8411,0.7425,0.9528
AvsB_1to2_full,B,2,full,6,1095,3y,52147,104294,445,1068,2.862,2.6023,3.1407,3.4379,3.2348,3.6504,0.8325,0.7453,0.9298
AvsB_1to2_full,B,2,full,6,1825,5y,52147,104294,610,1406,2.3585,2.175,2.5533,2.7216,2.5812,2.8677,0.8666,0.788,0.953
AvsB_1to2_full,B,2,full,7,365,1y,52147,104294,234,595,4.5037,3.9451,5.1192,5.7304,5.2792,6.21,0.7859,0.6756,0.9143
AvsB_1to2_full,B,2,full,7,730,2y,52147,104294,351,862,3.3824,3.0378,3.7554,4.1575,3.8846,4.4446,0.8136,0.7186,0.9211
AvsB_1to2_full,B,2,full,7,1095,3y,52147,104294,445,1109,2.862,2.6023,3.1407,3.5709,3.3638,3.7874,0.8015,0.718,0.8947
AvsB_1to2_full,B,2,full,7,1825,5y,52147,104294,610,1474,2.3585,2.175,2.5533,2.8543,2.7104,3.0038,0.8263,0.7519,0.9081
AvsB_1to2_full,B,2,full,8,365,1y,52147,104294,234,551,4.5037,3.9451,5.1192,5.3056,4.8718,5.7677,0.8489,0.7285,0.9891
AvsB_1to2_full,B,2,full,8,730,2y,52147,104294,351,856,3.3824,3.0378,3.7554,4.1278,3.8559,4.4138,0.8194,0.7237,0.9278
AvsB_1to2_full,B,2,full,8,1095,3y,52147,104294,445,1092,2.862,2.6023,3.1407,3.5155,3.3101,3.7304,0.8141,0.7291,0.909
AvsB_1to2_full,B,2,full,8,1825,5y,52147,104294,610,1417,2.3585,2.175,2.5533,2.7431,2.6021,2.8897,0.8598,0.7819,0.9454
AvsB_1to2_full,B,2,full,9,365,1y,52147,104294,234,559,4.5037,3.9451,5.1192,5.3829,4.9458,5.8482,0.8367,0.7183,0.9746
AvsB_1to2_full,B,2,full,9,730,2y,52147,104294,351,809,3.3824,3.0378,3.7554,3.9011,3.6368,4.1794,0.867,0.7649,0.9828
AvsB_1to2_full,B,2,full,9,1095,3y,52147,104294,445,1061,2.862,2.6023,3.1407,3.4152,3.2127,3.627,0.838,0.7502,0.9361
AvsB_1to2_full,B,2,full,9,1825,5y,52147,104294,610,1347,2.3585,2.175,2.5533,2.6069,2.4696,2.75,0.9047,0.8222,0.9955
AvsB_1to2_simple,B,2,simple,0,365,1y,52143,104286,234,622,4.504,3.9454,5.1196,5.9835,5.5224,6.4728,0.7527,0.6477,0.8748
AvsB_1to2_simple,B,2,simple,0,730,2y,52143,104286,351,878,3.3826,3.038,3.7557,4.2345,3.959,4.5241,0.7988,0.7058,0.9041
AvsB_1to2_simple,B,2,simple,0,1095,3y,52143,104286,445,1169,2.8623,2.6025,3.141,3.7634,3.5508,3.9855,0.7606,0.6819,0.8483
AvsB_1to2_simple,B,2,simple,0,1825,5y,52143,104286,610,1169,2.3587,2.1752,2.5535,2.2624,2.1345,2.3959,1.0426,0.9453,1.1498
AvsC_1to1_full,C,1,full,0,365,1y,52146,52146,234,187,4.5038,3.9452,5.1193,3.597,3.0999,4.1511,1.2521,1.0331,1.5175
AvsC_1to1_full,C,1,full,0,730,2y,52146,52146,351,254,3.3825,3.0378,3.7555,2.4454,2.1539,2.7653,1.3832,1.177,1.6256
AvsC_1to1_full,C,1,full,0,1095,3y,52146,52146,445,348,2.8621,2.6023,3.1408,2.2356,2.0068,2.4832,1.2802,1.1127,1.473
AvsC_1to1_full,C,1,full,0,1825,5y,52146,52146,610,534,2.3585,2.175,2.5533,2.0618,1.8906,2.2443,1.1439,1.0185,1.2848
AvsC_1to1_full,C,1,full,1,365,1y,52146,52146,234,352,4.5038,3.9452,5.1193,6.7805,6.0906,7.5272,0.6642,0.563,0.7836
AvsC_1to1_full,C,1,full,1,730,2y,52146,52146,351,464,3.3825,3.0378,3.7555,4.4783,4.08,4.9049,0.7553,0.6575,0.8676
AvsC_1to1_full,C,1,full,1,1095,3y,52146,52146,445,562,2.8621,2.6023,3.1408,3.6208,3.3276,3.9329,0.7905,0.698,0.8951
AvsC_1to1_full,C,1,full,1,1825,5y,52146,52146,610,660,2.3585,2.175,2.5533,2.5561,2.3648,2.7588,0.9227,0.8265,1.0301
AvsC_1to1_full,C,1,full,2,365,1y,52146,52146,234,285,4.5038,3.9452,5.1193,5.488,4.8693,6.1636,0.8207,0.6904,0.9756
AvsC_1to1_full,C,1,full,2,730,2y,52146,52146,351,423,3.3825,3.0378,3.7555,4.0791,3.6996,4.4869,0.8292,0.7198,0.9553
AvsC_1to1_full,C,1,full,2,1095,3y,52146,52146,445,547,2.8621,2.6023,3.1408,3.5217,3.2328,3.8296,0.8127,0.7171,0.921
AvsC_1to1_full,C,1,full,2,1825,5y,52146,52146,610,788,2.3585,2.175,2.5533,3.0515,2.8421,3.2722,0.7729,0.6954,0.8591
AvsC_1to1_full,C,1,full,3,365,1y,52146,52146,234,230,4.5038,3.9452,5.1193,4.4252,3.8718,5.0356,1.0178,0.8484,1.2209
AvsC_1to1_full,C,1,full,3,730,2y,52146,52146,351,359,3.3825,3.0378,3.7555,3.4593,3.1106,3.8363,0.9778,0.844,1.1328
AvsC_1to1_full,C,1,full,3,1095,3y,52146,52146,445,442,2.8621,2.6023,3.1408,2.8427,2.5838,3.1205,1.0068,0.8827,1.1485
AvsC_1to1_full,C,1,full,3,1825,5y,52146,52146,610,648,2.3585,2.175,2.5533,2.5052,2.316,2.7057,0.9414,0.8429,1.0515
AvsC_1to1_full,C,1,full,4,365,1y,52146,52146,234,215,4.5038,3.9452,5.1193,4.1363,3.6019,4.7277,1.0888,0.9048,1.3103
AvsC_1to1_full,C,1,full,4,730,2y,52146,52146,351,315,3.3825,3.0378,3.7555,3.0339,2.7081,3.3881,1.1149,0.9576,1.2981
AvsC_1to1_full,C,1,full,4,1095,3y,52146,52146,445,410,2.8621,2.6023,3.1408,2.6357,2.3867,2.9036,1.0859,0.9496,1.2418
AvsC_1to1_full,C,1,full,4,1825,5y,52146,52146,610,599,2.3585,2.175,2.5533,2.3144,2.1328,2.5074,1.0191,0.9104,1.1407
AvsC_1to1_full,C,1,full,5,365,1y,52146,52146,234,246,4.5038,3.9452,5.1193,4.7314,4.1586,5.3611,0.9519,0.7959,1.1385
AvsC_1to1_full,C,1,full,5,730,2y,52146,52146,351,419,3.3825,3.0378,3.7555,4.0375,3.6601,4.4432,0.8378,0.727,0.9654
AvsC_1to1_full,C,1,full,5,1095,3y,52146,52146,445,495,2.8621,2.6023,3.1408,3.1848,2.9104,3.4781,0.8987,0.7907,1.0214
AvsC_1to1_full,C,1,full,5,1825,5y,52146,52146,610,620,2.3585,2.175,2.5533,2.3986,2.2135,2.5951,0.9833,0.8793,1.0996
AvsC_1to1_full,C,1,full,6,365,1y,52146,52146,234,254,4.5038,3.9452,5.1193,4.8903,4.3073,5.5301,0.921,0.7711,1.1
AvsC_1to1_full,C,1,full,6,730,2y,52146,52146,351,364,3.3825,3.0378,3.7555,3.5086,3.1574,3.8882,0.9641,0.8326,1.1163
AvsC_1to1_full,C,1,full,6,1095,3y,52146,52146,445,564,2.8621,2.6023,3.1408,3.6301,3.3367,3.9425,0.7884,0.6963,0.8928
AvsC_1to1_full,C,1,full,6,1825,5y,52146,52146,610,657,2.3585,2.175,2.5533,2.543,2.3522,2.7451,0.9274,0.8307,1.0355
AvsC_1to1_full,C,1,full,7,365,1y,52146,52146,234,270,4.5038,3.9452,5.1193,5.1994,4.5977,5.8581,0.8662,0.7271,1.0319
AvsC_1to1_full,C,1,full,7,730,2y,52146,52146,351,452,3.3825,3.0378,3.7555,4.3587,3.9661,4.7796,0.776,0.675,0.8922
AvsC_1to1_full,C,1,full,7,1095,3y,52146,52146,445,849,2.8621,2.6023,3.1408,5.4725,5.1106,5.8534,0.523,0.4663,0.5866
