cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,or,ci_lower,ci_upper,p_value,se,n,n_events,n_covariates,reason
AvsB_1to2_full,B,2,full,4,1825,5y,52147,104294,610,1449,success,0.7975,0.7211,0.8818,1.0315838989951896e-05,0.0513,156441.0,2059.0,14.0,
AvsB_1to2_full,B,2,full,5,365,1y,52147,104294,234,514,success,0.8747,0.7465,1.025,0.09791587652125891,0.0809,156441.0,748.0,14.0,
AvsB_1to2_full,B,2,full,5,730,2y,52147,104294,351,789,success,0.8563,0.7516,0.9755,0.019672886732019293,0.0665,156441.0,1140.0,14.0,
AvsB_1to2_full,B,2,full,5,1095,3y,52147,104294,445,976,success,0.8784,0.7813,0.9875,0.030013246672290918,0.0597,156441.0,1421.0,14.0,
AvsB_1to2_full,B,2,full,5,1825,5y,52147,104294,610,1282,success,0.9218,0.8322,1.0211,0.11877426889476846,0.0522,156441.0,1892.0,14.0,
AvsB_1to2_full,B,2,full,6,365,1y,52147,104294,234,558,success,0.8118,0.6941,0.9495,0.00911236204132637,0.0799,156441.0,792.0,14.0,
AvsB_1to2_full,B,2,full,6,730,2y,52147,104294,351,834,success,0.811,0.7125,0.9231,0.0015213822396125086,0.0661,156441.0,1185.0,14.0,
AvsB_1to2_full,B,2,full,6,1095,3y,52147,104294,445,1068,success,0.8024,0.7147,0.9009,0.00019354013535812702,0.0591,156441.0,1513.0,14.0,
AvsB_1to2_full,B,2,full,6,1825,5y,52147,104294,610,1406,success,0.8388,0.7581,0.928,0.0006574701597688526,0.0516,156441.0,2016.0,14.0,
AvsB_1to2_full,B,2,full,7,365,1y,52147,104294,234,595,success,0.7577,0.6486,0.8853,0.00047231011819431906,0.0794,156441.0,829.0,14.0,
AvsB_1to2_full,B,2,full,7,730,2y,52147,104294,351,862,success,0.7847,0.6898,0.8927,0.00022846338383226706,0.0658,156441.0,1213.0,14.0,
AvsB_1to2_full,B,2,full,7,1095,3y,52147,104294,445,1109,success,0.7715,0.6874,0.8658,1.0439181585846955e-05,0.0589,156441.0,1554.0,14.0,
AvsB_1to2_full,B,2,full,7,1825,5y,52147,104294,610,1474,success,0.7928,0.7169,0.8768,6.209903317582253e-06,0.0514,156441.0,2084.0,14.0,
AvsB_1to2_full,B,2,full,8,365,1y,52147,104294,234,551,success,0.83,0.7093,0.9712,0.02007641483658787,0.0802,156441.0,785.0,14.0,
AvsB_1to2_full,B,2,full,8,730,2y,52147,104294,351,856,success,0.797,0.7005,0.9067,0.000563291046084369,0.0658,156441.0,1207.0,14.0,
AvsB_1to2_full,B,2,full,8,1095,3y,52147,104294,445,1092,success,0.79,0.7039,0.8867,6.301285925020014e-05,0.0589,156441.0,1537.0,14.0,
AvsB_1to2_full,B,2,full,8,1825,5y,52147,104294,610,1417,success,0.8373,0.7569,0.9263,0.0005675482802606775,0.0515,156441.0,2027.0,14.0,
AvsB_1to2_full,B,2,full,9,365,1y,52147,104294,234,559,success,0.8149,0.6966,0.9533,0.010550579230695536,0.08,156441.0,793.0,14.0,
AvsB_1to2_full,B,2,full,9,730,2y,52147,104294,351,809,success,0.8436,0.7408,0.9608,0.010400953662365776,0.0664,156441.0,1160.0,14.0,
AvsB_1to2_full,B,2,full,9,1095,3y,52147,104294,445,1061,success,0.8143,0.7252,0.9144,0.0005142188360527544,0.0591,156441.0,1506.0,14.0,
AvsB_1to2_full,B,2,full,9,1825,5y,52147,104294,610,1347,success,0.8852,0.7996,0.98,0.01881117695744034,0.0519,156441.0,1957.0,14.0,
AvsB_1to2_simple,B,2,simple,0,365,1y,52143,104286,234,622,success,0.7519,0.6463,0.8749,0.00022385650873650662,0.0773,156429.0,856.0,6.0,
AvsB_1to2_simple,B,2,simple,0,730,2y,52143,104286,351,878,failed,,,,,,,,,non-convergence
AvsB_1to2_simple,B,2,simple,0,1095,3y,52143,104286,445,1169,failed,,,,,,,,,non-convergence
AvsB_1to2_simple,B,2,simple,0,1825,5y,52143,104286,610,1169,success,1.0461,0.9469,1.1556,0.3755624200210873,0.0508,156429.0,1779.0,6.0,
AvsC_1to1_full,C,1,full,0,365,1y,52146,52146,234,187,success,1.4425,1.18,1.7633,0.0003491389961796336,0.1025,104292.0,421.0,14.0,
AvsC_1to1_full,C,1,full,0,730,2y,52146,52146,351,254,success,1.5433,1.303,1.8281,5.077911061845881e-07,0.0864,104292.0,605.0,14.0,
AvsC_1to1_full,C,1,full,0,1095,3y,52146,52146,445,348,success,1.4189,1.2241,1.6447,3.4122981677063375e-06,0.0753,104292.0,793.0,14.0,
